Institution,Location,Global_Region,World Rank,World Rank1,Global_Percentile(%),National Rank,Employability Rank,Research Rank,Score,Score_Normalized
Harvard University,USA,America,1 Top 0.1%,1,0.1,1,1.0,1.0,100.0,1.0
Massachusetts Institute of Technology,USA,America,2 Top 0.1%,2,0.1,2,12.0,11.0,96.8,0.9053
Stanford University,USA,America,3 Top 0.1%,3,0.1,3,4.0,4.0,95.2,0.858
University of Cambridge,United Kingdom,Europe,4 Top 0.1%,4,0.1,1,26.0,14.0,94.1,0.8254
University of Oxford,United Kingdom,Europe,5 Top 0.1%,5,0.1,2,28.0,6.0,93.3,0.8018
Princeton University,USA,America,6 Top 0.1%,6,0.1,4,15.0,87.0,92.7,0.784
University of Pennsylvania,USA,America,7 Top 0.1%,7,0.1,5,7.0,12.0,92.1,0.7663
Columbia University,USA,America,8 Top 0.1%,8,0.1,6,14.0,15.0,91.6,0.7515
Yale University,USA,America,9 Top 0.1%,9,0.1,7,31.0,24.0,91.2,0.7396
University of Chicago,USA,America,10 Top 0.1%,10,0.1,8,16.0,50.0,90.8,0.7278
California Institute of Technology,USA,America,11 Top 0.1%,11,0.1,9,96.0,94.0,90.5,0.7189
"University of California, Berkeley",USA,America,12 Top 0.1%,12,0.1,10,57.0,22.0,90.2,0.7101
University of Tokyo,Japan,Asia,13 Top 0.1%,13,0.1,1,6.0,34.0,89.9,0.7012
Cornell University,USA,America,14 Top 0.1%,14,0.1,11,32.0,26.0,89.6,0.6923
Northwestern University,USA,America,15 Top 0.1%,15,0.1,12,17.0,31.0,89.4,0.6864
"University of Michigan, Ann Arbor",USA,America,16 Top 0.1%,16,0.1,13,40.0,9.0,89.1,0.6775
"University of California, Los Angeles",USA,America,17 Top 0.1%,17,0.1,14,67.0,16.0,88.9,0.6716
Johns Hopkins University,USA,America,18 Top 0.1%,18,0.1,15,204.0,8.0,88.7,0.6657
PSL University,France,Europe,19 Top 0.1%,19,0.1,1,30.0,75.0,88.5,0.6598
University College London,United Kingdom,Europe,20 Top 0.1%,20,0.1,3,690.0,7.0,88.3,0.6538
Duke University,USA,America,21 Top 0.1%,21,0.1,16,48.0,27.0,88.1,0.6479
University of Illinois at Urbana–Champaign,USA,America,22 Top 0.2%,22,0.2,17,155.0,82.0,87.9,0.642
University of Toronto,Canada,America,23 Top 0.2%,23,0.2,1,157.0,5.0,87.8,0.6391
Kyoto University,Japan,Asia,24 Top 0.2%,24,0.2,2,29.0,90.0,87.6,0.6331
New York University,USA,America,25 Top 0.2%,25,0.2,18,49.0,54.0,87.5,0.6302
University of Washington,USA,America,26 Top 0.2%,26,0.2,19,225.0,10.0,87.3,0.6243
McGill University,Canada,America,27 Top 0.2%,27,0.2,2,107.0,55.0,87.2,0.6213
Imperial College London,United Kingdom,Europe,28 Top 0.2%,28,0.2,4,137.0,17.0,87.0,0.6154
Paris City University,France,Europe,29 Top 0.2%,29,0.2,2,974.0,3.0,86.9,0.6124
University of Wisconsin–Madison,USA,America,30 Top 0.2%,30,0.2,20,115.0,45.0,86.8,0.6095
Seoul National University,South Korea,Asia,31 Top 0.2%,31,0.2,1,23.0,57.0,86.6,0.6036
ETH Zurich,Switzerland,Europe,32 Top 0.2%,32,0.2,1,91.0,43.0,86.5,0.6006
"University of California, San Diego",USA,America,33 Top 0.2%,33,0.2,21,1473.0,25.0,86.4,0.5976
Paris-Saclay University,France,Europe,34 Top 0.2%,34,0.2,3,134.0,18.0,86.3,0.5947
Institut Polytechnique de Paris,France,Europe,35 Top 0.2%,35,0.2,4,8.0,246.0,86.2,0.5917
University of Texas at Austin,USA,America,36 Top 0.2%,36,0.2,22,66.0,68.0,86.1,0.5888
Tsinghua University,China,Asia,37 Top 0.2%,37,0.2,1,50.0,13.0,86.0,0.5858
University of Copenhagen,Denmark,Europe,38 Top 0.2%,38,0.2,1,385.0,28.0,85.9,0.5828
"University of California, San Francisco",USA,America,39 Top 0.2%,39,0.2,23,1601.0,29.0,85.8,0.5799
University of North Carolina at Chapel Hill,USA,America,40 Top 0.2%,40,0.2,24,90.0,40.0,85.7,0.5769
Karolinska Institute,Sweden,Europe,41 Top 0.2%,41,0.2,1,360.77,60.0,85.6,0.574
King's College London,United Kingdom,Europe,42 Top 0.2%,42,0.2,5,590.0,56.0,85.5,0.571
Sorbonne University,France,Europe,43 Top 0.3%,43,0.3,5,319.0,23.0,85.4,0.568
Peking University,China,Asia,44 Top 0.3%,44,0.3,2,52.0,19.0,85.3,0.5651
Dartmouth College,USA,America,45 Top 0.3%,45,0.3,25,19.0,300.0,85.2,0.5621
University of Chinese Academy of Sciences,China,Asia,46 Top 0.3%,46,0.3,3,1216.0,2.0,85.1,0.5592
Washington University in St. Louis,USA,America,47 Top 0.3%,47,0.3,26,141.0,51.0,85.0,0.5562
University of British Columbia,Canada,America,48 Top 0.3%,48,0.3,3,490.0,35.0,84.9,0.5533
University of Minnesota - Twin Cities,USA,America,49 Top 0.3%,49,0.3,27,324.0,37.0,84.9,0.5533
Ludwig Maximilian University of Munich,Germany,Europe,50 Top 0.3%,50,0.3,1,281.0,59.0,84.8,0.5503
University of Edinburgh,United Kingdom,Europe,51 Top 0.3%,51,0.3,6,451.0,58.0,84.7,0.5473
University of New South Wales,Australia,Oceania,52 Top 0.3%,52,0.3,1,124.0,53.0,84.6,0.5444
University of Manchester,United Kingdom,Europe,53 Top 0.3%,53,0.3,7,469.0,62.0,84.6,0.5444
University of Southern California,USA,America,54 Top 0.3%,54,0.3,28,130.0,79.0,84.5,0.5414
Ohio State University,USA,America,55 Top 0.3%,55,0.3,29,295.0,39.0,84.4,0.5385
Vanderbilt University,USA,America,56 Top 0.3%,56,0.3,30,89.0,73.0,84.3,0.5355
Pennsylvania State University,USA,America,57 Top 0.3%,57,0.3,31,163.0,65.0,84.3,0.5355
Humboldt University of Berlin,Germany,Europe,58 Top 0.3%,58,0.3,2,1423.0,72.0,84.2,0.5325
Free University of Berlin,Germany,Europe,59 Top 0.3%,59,0.3,3,1120.0,74.0,84.1,0.5296
"University of California, Davis",USA,America,60 Top 0.3%,60,0.3,32,513.0,67.0,84.1,0.5296
Shanghai Jiao Tong University,China,Asia,61 Top 0.3%,61,0.3,4,118.0,21.0,84.0,0.5266
University of Zurich,Switzerland,Europe,62 Top 0.3%,62,0.3,2,581.0,69.0,83.9,0.5237
Rutgers University,USA,America,63 Top 0.3%,63,0.3,33,150.0,100.0,83.9,0.5237
University of Melbourne,Australia,Oceania,64 Top 0.3%,64,0.3,2,416.0,30.0,83.8,0.5207
Hebrew University of Jerusalem,Israel,Asia,65 Top 0.4%,65,0.4,1,368.0,210.0,83.7,0.5178
Purdue University,USA,America,66 Top 0.4%,66,0.4,34,100.0,109.0,83.7,0.5178
University of Texas Southwestern Medical Center,USA,America,67 Top 0.4%,67,0.4,35,99.32,171.0,83.6,0.5148
Zhejiang University,China,Asia,68 Top 0.4%,68,0.4,5,373.0,20.0,83.5,0.5118
Rockefeller University,USA,America,69 Top 0.4%,69,0.4,36,121.64,530.0,83.5,0.5118
Weizmann Institute of Science,Israel,Asia,70 Top 0.4%,70,0.4,2,1228.0,313.0,83.4,0.5089
Brown University,USA,America,71 Top 0.4%,71,0.4,37,58.0,150.0,83.4,0.5089
Heidelberg University,Germany,Europe,72 Top 0.4%,72,0.4,4,1074.0,64.0,83.3,0.5059
Fudan University,China,Asia,73 Top 0.4%,73,0.4,6,84.0,42.0,83.3,0.5059
Georgia Institute of Technology,USA,America,74 Top 0.4%,74,0.4,38,185.0,126.0,83.2,0.503
University of Colorado Boulder,USA,America,75 Top 0.4%,75,0.4,39,154.0,115.0,83.1,0.5
University of Virginia,USA,America,76 Top 0.4%,76,0.4,40,37.0,146.0,83.1,0.5
Technical University of Munich,Germany,Europe,77 Top 0.4%,77,0.4,5,433.0,76.0,83.0,0.497
Utrecht University,Netherlands,Europe,78 Top 0.4%,78,0.4,1,553.0,46.0,83.0,0.497
University of Rochester,USA,America,79 Top 0.4%,79,0.4,41,71.0,206.0,82.9,0.4941
National University of Singapore,Singapore,Asia,80 Top 0.4%,80,0.4,1,183.0,32.0,82.9,0.4941
University of Alberta,Canada,America,81 Top 0.4%,81,0.4,4,524.0,85.0,82.8,0.4911
"Texas A&M University, College Station",USA,America,82 Top 0.4%,82,0.4,42,127.0,116.0,82.8,0.4911
University of Amsterdam,Netherlands,Europe,83 Top 0.4%,83,0.4,2,740.0,44.0,82.7,0.4882
University of Pittsburgh,USA,America,84 Top 0.4%,84,0.4,43,212.0,41.0,82.7,0.4882
University of Basel,Switzerland,Europe,85 Top 0.4%,85,0.4,3,325.0,173.0,82.6,0.4852
University of Florida,USA,America,86 Top 0.5%,86,0.5,44,355.0,63.0,82.6,0.4852
University of Oslo,Norway,Europe,87 Top 0.5%,87,0.5,1,830.0,96.0,82.5,0.4822
Leiden University,Netherlands,Europe,88 Top 0.5%,88,0.5,3,1102.0,95.0,82.5,0.4822
"University of California, Irvine",USA,America,89 Top 0.5%,89,0.5,45,1232.0,122.0,82.4,0.4793
Australian National University,Australia,Oceania,90 Top 0.5%,90,0.5,3,407.0,153.0,82.4,0.4793
Uppsala University,Sweden,Europe,91 Top 0.5%,91,0.5,2,459.0,114.0,82.3,0.4763
"University of Maryland, College Park",USA,America,92 Top 0.5%,92,0.5,46,360.0,80.0,82.3,0.4763
University of Birmingham,United Kingdom,Europe,93 Top 0.5%,93,0.5,8,506.0,110.0,82.3,0.4763
University of Sydney,Australia,Oceania,94 Top 0.5%,94,0.5,4,601.0,33.0,82.2,0.4734
Sun Yat-sen University,China,Asia,95 Top 0.5%,95,0.5,7,328.0,36.0,82.2,0.4734
University of Science and Technology of China,China,Asia,96 Top 0.5%,96,0.5,8,256.0,38.0,82.1,0.4704
Carnegie Mellon University,USA,America,97 Top 0.5%,97,0.5,47,109.0,244.0,82.1,0.4704
Huazhong University of Science and Technology,China,Asia,98 Top 0.5%,98,0.5,9,147.0,47.0,82.0,0.4675
Boston University,USA,America,99 Top 0.5%,99,0.5,48,110.0,86.0,82.0,0.4675
Aarhus University,Denmark,Europe,100 Top 0.5%,100,0.5,2,296.0,84.0,81.9,0.4645
University of Bristol,United Kingdom,Europe,101 Top 0.5%,101,0.5,9,518.0,111.0,81.9,0.4645
University of Arizona,USA,America,102 Top 0.5%,102,0.5,49,280.0,117.0,81.9,0.4645
University of Queensland,Australia,Oceania,103 Top 0.5%,103,0.5,5,678.0,49.0,81.8,0.4615
University of Groningen,Netherlands,Europe,104 Top 0.5%,104,0.5,4,606.0,78.0,81.8,0.4615
KU Leuven,Belgium,Europe,105 Top 0.5%,105,0.5,1,441.0,52.0,81.7,0.4586
École Polytechnique Fédérale de Lausanne,Switzerland,Europe,106 Top 0.5%,106,0.5,4,95.0,138.0,81.7,0.4586
Osaka University,Japan,Asia,107 Top 0.5%,107,0.5,3,73.0,168.0,81.7,0.4586
Keio University,Japan,Asia,108 Top 0.6%,108,0.6,4,13.0,406.0,81.6,0.4556
University of Leeds,United Kingdom,Europe,109 Top 0.6%,109,0.6,10,461.0,145.0,81.6,0.4556
University of Göttingen,Germany,Europe,110 Top 0.6%,110,0.6,6,396.0,183.0,81.5,0.4527
Erasmus University Rotterdam,Netherlands,Europe,111 Top 0.6%,111,0.6,5,83.0,89.0,81.5,0.4527
"University of California, Santa Barbara",USA,America,112 Top 0.6%,112,0.6,50,520.0,186.0,81.5,0.4527
National Taiwan University,Taiwan,Asia,113 Top 0.6%,113,0.6,1,43.0,143.0,81.4,0.4497
University of Utah,USA,America,114 Top 0.6%,114,0.6,51,215.0,103.0,81.4,0.4497
University of Geneva,Switzerland,Europe,115 Top 0.6%,115,0.6,5,507.0,140.0,81.4,0.4497
University of Texas MD Anderson Cancer Center,USA,America,116 Top 0.6%,116,0.6,52,234.78,106.0,81.3,0.4467
Monash University,Australia,Oceania,117 Top 0.6%,117,0.6,6,551.0,48.0,81.3,0.4467
University of São Paulo,Brazil,America,118 Top 0.6%,118,0.6,1,390.0,81.0,81.2,0.4438
University of Bonn,Germany,Europe,119 Top 0.6%,119,0.6,7,438.0,163.0,81.2,0.4438
University of Tübingen,Germany,Europe,120 Top 0.6%,120,0.6,8,924.0,178.0,81.2,0.4438
Indiana University Bloomington,USA,America,121 Top 0.6%,121,0.6,53,104.0,135.0,81.1,0.4408
INSEAD,France,Europe,122 Top 0.6%,122,0.6,6,2.0,1694.0,81.1,0.4408
Nagoya University,Japan,Asia,123 Top 0.6%,123,0.6,5,200.0,228.0,81.1,0.4408
University of Montreal,Canada,America,124 Top 0.6%,124,0.6,5,538.0,107.0,81.0,0.4379
Sapienza University of Rome,Italy,Europe,125 Top 0.6%,125,0.6,1,470.0,121.0,81.0,0.4379
Autonomous University of Barcelona,Spain,Europe,126 Top 0.6%,126,0.6,1,249.42,139.0,81.0,0.4379
University of Helsinki,Finland,Europe,127 Top 0.6%,127,0.6,1,756.0,99.0,80.9,0.4349
Ghent University,Belgium,Europe,128 Top 0.6%,128,0.6,2,564.0,91.0,80.9,0.4349
Nanjing University,China,Asia,129 Top 0.7%,129,0.7,10,332.0,66.0,80.9,0.4349
Lund University,Sweden,Europe,130 Top 0.7%,130,0.7,3,468.0,104.0,80.8,0.432
University of Glasgow,United Kingdom,Europe,131 Top 0.7%,131,0.7,11,460.0,132.0,80.8,0.432
Nanyang Technological University,Singapore,Asia,132 Top 0.7%,132,0.7,2,848.0,61.0,80.8,0.432
University of Southampton,United Kingdom,Europe,133 Top 0.7%,133,0.7,12,310.0,137.0,80.7,0.429
Emory University,USA,America,134 Top 0.7%,134,0.7,54,300.0,70.0,80.7,0.429
Baylor College of Medicine,USA,America,135 Top 0.7%,135,0.7,55,264.82,130.0,80.7,0.429
University of Barcelona,Spain,Europe,136 Top 0.7%,136,0.7,2,657.0,71.0,80.6,0.426
University of Freiburg,Germany,Europe,137 Top 0.7%,137,0.7,9,234.0,187.0,80.6,0.426
Xi'an Jiaotong University,China,Asia,138 Top 0.7%,138,0.7,11,164.0,93.0,80.6,0.426
University of Bern,Switzerland,Europe,139 Top 0.7%,139,0.7,6,1025.0,127.0,80.5,0.4231
Wuhan University,China,Asia,140 Top 0.7%,140,0.7,12,331.0,77.0,80.5,0.4231
University of Liverpool,United Kingdom,Europe,141 Top 0.7%,141,0.7,13,491.0,159.0,80.5,0.4231
Tianjin University,China,Asia,142 Top 0.7%,142,0.7,13,112.0,112.0,80.4,0.4201
Yonsei University,South Korea,Asia,143 Top 0.7%,143,0.7,2,79.0,133.0,80.4,0.4201
University of Colorado Denver | Anschutz Medical Campus,USA,America,144 Top 0.7%,144,0.7,56,247.72,144.0,80.4,0.4201
Institute of Science Tokyo,Japan,Asia,145 Top 0.7%,145,0.7,6,113.0,227.0,80.3,0.4172
Xiamen University,China,Asia,146 Top 0.7%,146,0.7,14,61.0,161.0,80.3,0.4172
University of Nottingham,United Kingdom,Europe,147 Top 0.7%,147,0.7,14,573.0,156.0,80.3,0.4172
KTH Royal Institute of Technology,Sweden,Europe,148 Top 0.7%,148,0.7,4,47.0,243.0,80.3,0.4172
University of Strasbourg,France,Europe,149 Top 0.7%,149,0.7,7,1336.0,230.0,80.2,0.4142
Case Western Reserve University,USA,America,150 Top 0.7%,150,0.7,57,326.0,179.0,80.2,0.4142
University of Western Australia,Australia,Oceania,151 Top 0.8%,151,0.8,7,522.0,134.0,80.2,0.4142
Goethe University Frankfurt,Germany,Europe,152 Top 0.8%,152,0.8,10,788.0,223.0,80.1,0.4112
Stockholm University,Sweden,Europe,153 Top 0.8%,153,0.8,5,246.0,192.0,80.1,0.4112
Sichuan University,China,Asia,154 Top 0.8%,154,0.8,15,1057.0,83.0,80.1,0.4112
Korea University,South Korea,Asia,155 Top 0.8%,155,0.8,3,65.0,170.0,80.0,0.4083
Tel Aviv University,Israel,Asia,156 Top 0.8%,156,0.8,3,119.0,128.0,80.0,0.4083
Harbin Institute of Technology,China,Asia,157 Top 0.8%,157,0.8,16,533.0,92.0,80.0,0.4083
Tohoku University,Japan,Asia,158 Top 0.8%,158,0.8,7,139.0,198.0,80.0,0.4083
VU Amsterdam,Netherlands,Europe,159 Top 0.8%,159,0.8,6,1349.0,88.0,79.9,0.4053
University of Iowa,USA,America,160 Top 0.8%,160,0.8,58,258.0,175.0,79.9,0.4053
University of Hong Kong,China,Asia,161 Top 0.8%,161,0.8,17,243.0,105.0,79.9,0.4053
Central South University,China,Asia,162 Top 0.8%,162,0.8,18,276.0,102.0,79.9,0.4053
Queen Mary University of London,United Kingdom,Europe,163 Top 0.8%,163,0.8,15,764.0,172.0,79.8,0.4024
Grenoble Alpes University,France,Europe,164 Top 0.8%,164,0.8,8,1073.0,120.0,79.8,0.4024
Michigan State University,USA,America,165 Top 0.8%,165,0.8,59,193.0,125.0,79.8,0.4024
University of Sheffield,United Kingdom,Europe,166 Top 0.8%,166,0.8,16,659.0,162.0,79.7,0.3994
Tongji University,China,Asia,167 Top 0.8%,167,0.8,19,180.0,124.0,79.7,0.3994
Shandong University,China,Asia,168 Top 0.8%,168,0.8,20,1098.0,97.0,79.7,0.3994
Aix-Marseille University,France,Europe,169 Top 0.8%,169,0.8,9,871.0,98.0,79.7,0.3994
Cardiff University,United Kingdom,Europe,170 Top 0.8%,170,0.8,17,323.0,209.0,79.6,0.3964
South China University of Technology,China,Asia,171 Top 0.8%,171,0.8,21,229.0,119.0,79.6,0.3964
Radboud University,Netherlands,Europe,172 Top 0.9%,172,0.9,7,669.0,108.0,79.6,0.3964
Newcastle University,United Kingdom,Europe,173 Top 0.9%,173,0.9,18,628.0,197.0,79.6,0.3964
Icahn School of Medicine at Mount Sinai,USA,America,174 Top 0.9%,174,0.9,60,586.13,101.0,79.5,0.3935
University of Gothenburg,Sweden,Europe,175 Top 0.9%,175,0.9,6,510.0,181.0,79.5,0.3935
Chinese University of Hong Kong,China,Asia,176 Top 0.9%,176,0.9,22,1202.0,129.0,79.5,0.3935
University of Montpellier,France,Europe,177 Top 0.9%,177,0.9,10,1290.0,113.0,79.5,0.3935
University of Padova,Italy,Europe,178 Top 0.9%,178,0.9,2,1556.0,118.0,79.4,0.3905
University of Massachusetts Amherst,USA,America,179 Top 0.9%,179,0.9,61,301.0,241.0,79.4,0.3905
Rice University,USA,America,180 Top 0.9%,180,0.9,62,136.0,294.0,79.4,0.3905
Southeast University,China,Asia,181 Top 0.9%,181,0.9,23,768.0,123.0,79.4,0.3905
Norwegian University of Science and Technology,Norway,Europe,182 Top 0.9%,182,0.9,2,526.0,252.0,79.3,0.3876
Tufts University,USA,America,183 Top 0.9%,183,0.9,63,76.0,299.0,79.3,0.3876
University of Warwick,United Kingdom,Europe,184 Top 0.9%,184,0.9,19,187.0,180.0,79.3,0.3876
Western University,Canada,America,185 Top 0.9%,185,0.9,6,69.0,216.0,79.3,0.3876
McMaster University,Canada,America,186 Top 0.9%,186,0.9,7,896.0,155.0,79.2,0.3846
University of Hamburg,Germany,Europe,187 Top 0.9%,187,0.9,11,557.0,131.0,79.2,0.3846
Technion – Israel Institute of Technology,Israel,Asia,188 Top 0.9%,188,0.9,4,454.0,291.0,79.2,0.3846
Nankai University,China,Asia,189 Top 0.9%,189,0.9,24,128.0,166.0,79.2,0.3846
University of Cologne,Germany,Europe,190 Top 0.9%,190,0.9,12,192.0,203.0,79.1,0.3817
University of Milan,Italy,Europe,191 Top 0.9%,191,0.9,3,550.0,136.0,79.1,0.3817
University of Alabama at Birmingham,USA,America,192 Top 0.9%,192,0.9,64,1138.0,169.0,79.1,0.3817
Wageningen University & Research,Netherlands,Europe,193 Top 0.9%,193,0.9,8,791.0,177.0,79.1,0.3817
Jilin University,China,Asia,194 Top 1%,194,1.0,25,366.0,141.0,79.0,0.3787
Sungkyunkwan University,South Korea,Asia,195 Top 1%,195,1.0,4,275.0,148.0,79.0,0.3787
Arizona State University,USA,America,196 Top 1%,196,1.0,65,574.0,158.0,79.0,0.3787
University of Lausanne,Switzerland,Europe,197 Top 1%,197,1.0,7,720.0,215.0,79.0,0.3787
Brandeis University,USA,America,198 Top 1%,198,1.0,66,251.0,722.0,78.9,0.3757
University of Vienna,Austria,Europe,199 Top 1%,199,1.0,1,529.0,239.0,78.9,0.3757
Iowa State University,USA,America,200 Top 1%,200,1.0,67,122.0,259.0,78.9,0.3757
Hong Kong University of Science and Technology,China,Asia,201 Top 1%,201,1.0,26,605.0,219.0,78.9,0.3757
University of Calgary,Canada,America,202 Top 1%,202,1.0,8,303.0,154.0,78.9,0.3757
Hong Kong Polytechnic University,China,Asia,203 Top 1%,203,1.0,27,354.0,149.0,78.8,0.3728
University of Bologna,Italy,Europe,204 Top 1%,204,1.0,4,826.0,142.0,78.8,0.3728
University of Notre Dame,USA,America,205 Top 1%,205,1.0,68,38.0,341.0,78.8,0.3728
Technical University of Denmark,Denmark,Europe,206 Top 1%,206,1.0,3,886.0,200.0,78.8,0.3728
University of Connecticut,USA,America,207 Top 1%,207,1.0,69,394.0,245.0,78.7,0.3698
London School of Hygiene & Tropical Medicine,United Kingdom,Europe,208 Top 1%,208,1.0,20,610.89,234.0,78.7,0.3698
North Carolina State University,USA,America,209 Top 1%,209,1.0,70,452.0,213.0,78.7,0.3698
"Soochow University, China",China,Asia,210 Top 1%,210,1.0,28,607.39,147.0,78.7,0.3698
University of Waterloo,Canada,America,211 Top 1%,211,1.0,9,238.0,212.0,78.7,0.3698
Beihang University,China,Asia,212 Top 1%,212,1.0,29,843.0,151.0,78.6,0.3669
University of Adelaide,Australia,Oceania,213 Top 1%,213,1.0,8,965.0,160.0,78.6,0.3669
Zhengzhou University,China,Asia,214 Top 1%,214,1.0,30,1220.0,152.0,78.6,0.3669
Stony Brook University,USA,America,215 Top 1.1%,215,1.1,71,397.08,233.0,78.6,0.3669
University of Miami,USA,America,216 Top 1.1%,216,1.1,72,219.0,220.0,78.5,0.3639
City University of Hong Kong,China,Asia,217 Top 1.1%,217,1.1,31,1070.0,157.0,78.5,0.3639
University of Lisbon,Portugal,Europe,218 Top 1.1%,218,1.1,1,1354.0,185.0,78.5,0.3639
Johannes Gutenberg University Mainz,Germany,Europe,219 Top 1.1%,219,1.1,13,549.16,224.0,78.5,0.3639
University of Ottawa,Canada,America,220 Top 1.1%,220,1.1,10,495.0,167.0,78.5,0.3639
Georgetown University,USA,America,221 Top 1.1%,221,1.1,73,39.0,363.0,78.4,0.3609
University of Münster,Germany,Europe,222 Top 1.1%,222,1.1,14,816.0,214.0,78.4,0.3609
Claude Bernard University Lyon 1,France,Europe,223 Top 1.1%,223,1.1,11,859.0,165.0,78.4,0.3609
RWTH Aachen University,Germany,Europe,224 Top 1.1%,224,1.1,15,181.0,191.0,78.4,0.3609
Paul Sabatier University,France,Europe,225 Top 1.1%,225,1.1,12,779.61,164.0,78.4,0.3609
University of Kansas,USA,America,226 Top 1.1%,226,1.1,74,525.0,267.0,78.3,0.358
University of Georgia,USA,America,227 Top 1.1%,227,1.1,75,302.0,248.0,78.3,0.358
Waseda University,Japan,Asia,228 Top 1.1%,228,1.1,8,25.0,565.0,78.3,0.358
Beijing Institute of Technology,China,Asia,229 Top 1.1%,229,1.1,32,783.0,174.0,78.3,0.358
Technical University of Dresden,Germany,Europe,230 Top 1.1%,230,1.1,16,1407.0,176.0,78.3,0.358
Dalian University of Technology,China,Asia,231 Top 1.1%,231,1.1,33,277.0,194.0,78.2,0.355
"University of Tennessee, Knoxville",USA,America,232 Top 1.1%,232,1.1,76,651.0,222.0,78.2,0.355
University of Electronic Science and Technology of China,China,Asia,233 Top 1.1%,233,1.1,34,631.0,182.0,78.2,0.355
University of Würzburg,Germany,Europe,234 Top 1.1%,234,1.1,17,1192.0,229.0,78.2,0.355
Hunan University,China,Asia,235 Top 1.1%,235,1.1,35,534.0,188.0,78.2,0.355
Institut national du service public,France,Europe,236 Top 1.1%,236,1.1,13,3.0,966.5,78.1,0.3521
King Abdullah University of Science and Technology,Saudi Arabia,Asia,237 Top 1.2%,237,1.2,1,500.48,287.0,78.1,0.3521
Université catholique de Louvain,Belgium,Europe,238 Top 1.2%,238,1.2,3,607.0,276.0,78.1,0.3521
University of Bordeaux,France,Europe,239 Top 1.2%,239,1.2,14,1045.0,184.0,78.1,0.3521
Chongqing University,China,Asia,240 Top 1.2%,240,1.2,36,345.0,199.0,78.1,0.3521
University of Erlangen–Nuremberg,Germany,Europe,241 Top 1.2%,241,1.2,18,824.0,189.0,78.0,0.3491
University of Turin,Italy,Europe,242 Top 1.2%,242,1.2,5,1158.0,195.0,78.0,0.3491
University of Naples Federico II,Italy,Europe,243 Top 1.2%,243,1.2,6,730.0,190.0,78.0,0.3491
Kiel University,Germany,Europe,244 Top 1.2%,244,1.2,19,1185.0,275.0,78.0,0.3491
Lomonosov Moscow State University,Russia,Europe,245 Top 1.2%,245,1.2,1,401.0,270.0,78.0,0.3491
University of Cincinnati,USA,America,246 Top 1.2%,246,1.2,77,315.0,208.0,77.9,0.3462
Hokkaido University,Japan,Asia,247 Top 1.2%,247,1.2,9,232.0,285.0,77.9,0.3462
Charles University in Prague,Czech Republic,Europe,248 Top 1.2%,248,1.2,1,1289.0,196.0,77.9,0.3462
King Abdulaziz University,Saudi Arabia,Asia,249 Top 1.2%,249,1.2,2,1438.0,193.0,77.9,0.3462
University of Missouri–Columbia,USA,America,250 Top 1.2%,250,1.2,78,247.0,350.0,77.9,0.3462
University of Leicester,United Kingdom,Europe,251 Top 1.2%,251,1.2,21,1240.0,303.0,77.8,0.3432
KAIST,South Korea,Asia,252 Top 1.2%,252,1.2,5,142.0,235.0,77.8,0.3432
Complutense University of Madrid,Spain,Europe,253 Top 1.2%,253,1.2,3,194.0,274.0,77.8,0.3432
University of Illinois at Chicago,USA,America,254 Top 1.2%,254,1.2,79,818.0,205.0,77.8,0.3432
Shenzhen University,China,Asia,255 Top 1.2%,255,1.2,37,797.0,201.0,77.8,0.3432
Université libre de Bruxelles,Belgium,Europe,256 Top 1.2%,256,1.2,4,422.0,266.0,77.8,0.3432
University of Lille,France,Europe,257 Top 1.2%,257,1.2,15,917.91,202.0,77.7,0.3402
Karlsruhe Institute of Technology,Germany,Europe,258 Top 1.3%,258,1.3,20,265.0,217.0,77.7,0.3402
Trinity College Dublin,Ireland,Europe,259 Top 1.3%,259,1.3,1,88.0,318.0,77.7,0.3402
Northwestern Polytechnical University,China,Asia,260 Top 1.3%,260,1.3,38,558.0,211.0,77.7,0.3402
University of Exeter,United Kingdom,Europe,261 Top 1.3%,261,1.3,22,892.0,204.0,77.7,0.3402
University of Texas Health Science Center at Houston,USA,America,262 Top 1.3%,262,1.3,80,539.02,283.0,77.6,0.3373
University of Sussex,United Kingdom,Europe,263 Top 1.3%,263,1.3,23,603.0,383.0,77.6,0.3373
Maastricht University,Netherlands,Europe,264 Top 1.3%,264,1.3,9,1295.0,207.0,77.6,0.3373
Kyushu University,Japan,Asia,265 Top 1.3%,265,1.3,10,138.0,254.0,77.6,0.3373
China Europe International Business School,China,Asia,266 Top 1.3%,266,1.3,39,5.0,966.5,77.6,0.3373
University of Houston,USA,America,267 Top 1.3%,267,1.3,81,182.0,360.0,77.6,0.3373
"University of California, Riverside",USA,America,268 Top 1.3%,268,1.3,82,612.87,258.0,77.5,0.3343
Delft University of Technology,Netherlands,Europe,269 Top 1.3%,269,1.3,10,456.0,226.0,77.5,0.3343
Yeshiva University,USA,America,270 Top 1.3%,270,1.3,83,586.65,307.0,77.5,0.3343
Wake Forest University,USA,America,271 Top 1.3%,271,1.3,84,70.0,343.0,77.5,0.3343
Beijing Normal University,China,Asia,272 Top 1.3%,272,1.3,40,1273.0,218.0,77.5,0.3343
Virginia Commonwealth University,USA,America,273 Top 1.3%,273,1.3,85,949.0,322.0,77.4,0.3314
